mutation_rate,treatment_coverage,beta,cost_of_resistances_factor,cycling_period,auc
0.0183879801078124,0.2350452677153808,0.1869835630098285,1.2168787569281942,841,340.84563818714565
0.0116100827920317,0.6247052068253756,0.0354197478213299,0.9360165143927812,482,3836.40708933188
0.0094764181196407,0.8410457171262908,0.015490953379553,0.8364300645488532,501,5350.317800824655
0.0163704102168049,0.5056428190409417,0.1670455998757838,0.7901427060986128,1272,3201.3554983424247
0.0103130397845934,0.4960273230728855,0.1805267553318238,1.1909228706564865,666,1766.5886340477691
0.0180050372735669,0.5161181903888155,0.0547685694292253,0.7677879050655796,1561,3623.233890774662
0.0113743430249259,0.7842183617150607,0.0990260033975783,1.131917335227251,1611,5220.7583474464445
0.0033154912370263,0.3717316235749014,0.0253713208553212,1.048264560966491,1475,328.38029219356497
0.01200527700641,0.3424647236042145,0.0374518117581052,1.2297687875666337,603,560.540867356993
0.0050167007788646,0.5008454020138735,0.05366555221309,1.2696174265877151,1441,1971.398479276274
0.0151835281123932,0.235103455143901,0.0298447972677021,1.0877423004220963,1152,230.150937872997
0.0194566923608376,0.2678407563387429,0.0103779888663348,0.954406967681516,1441,1306.735107177535
0.0183695145920395,0.4333961488295854,0.1055506155142934,1.1062360002359917,477,1879.9250627485876
0.0193998650543898,0.6243583972368427,0.0313902088364072,0.7649565679676746,1437,4966.045632260764
0.0087743167780138,0.2332802690748375,0.0099992094332805,0.940318695539176,601,30.600238395945
0.0122967217015787,0.3139158738971908,0.5541556996310777,1.1875136059035076,1117,599.381047502789
0.0133545401763596,0.6584675008311098,0.0863980535270586,1.0350081299188272,1148,4204.787067909566
0.0035052073044682,0.274735279904626,0.4026042237930551,1.2826086440048163,538,65.4091706960437
0.0019875801379792,0.3835506456173614,0.0190771587527777,0.7458921420347603,1044,114.782150330165
0.0186494803537392,0.2596492655934847,0.3882371845254117,0.7549767126111396,1052,480.95865971411513
0.0171241017068953,0.4677377139105401,0.0102703468339537,0.7195109885887316,1778,3793.550373149035
0.0059836339202235,0.8706262082671692,0.0404236546882729,0.9342161453544048,475,4956.079531112739
0.0188498171397452,0.480158635822182,0.2664309028909046,0.7384973658498736,911,2644.722736080146
0.0057136302971258,0.6384257763157679,0.027567108479433,0.7572364901763797,1601,4063.527130889559
0.0064467784723823,0.6626588445978167,0.0404989336178921,1.094781996188886,1048,3878.9711627065153
0.015965907819184,0.8185512304111564,0.2462654499245367,0.9841333795431326,586,4693.098306735359
0.0045246350397709,0.8648636973719377,0.4162256594577582,1.279011341668908,708,3826.003113314922
0.015554309910402,0.2633241371316047,0.1899487694601367,1.1182668806090943,437,343.6370999003695
0.0021382306279489,0.2372426633497713,0.0361030666825972,1.0322149950158297,1195,19.808046563803003
0.008457724029789,0.6087520833295476,0.1594378315168262,1.1196497174881983,1173,3152.8431039861543
0.0161682194944392,0.3188351050937048,0.0570897180661004,0.7435237723294834,480,724.5890350230079
0.0153028111689914,0.4534196570094493,0.0847689505923068,0.7718399571837383,579,1996.9936090160325
0.0138903292570492,0.5832188627010797,0.0228980749296255,1.1313659874085036,446,3856.3459463198847
0.015909794226667,0.7514002877348036,0.0638200347236855,0.7568034723408192,909,4952.668482880044
0.0140990944865984,0.4970794543792641,0.0222587458653219,0.8700150278267185,1574,3371.623211210915
0.0119104847011126,0.6262522530151746,0.5776112509615793,1.0368296226614897,1097,3127.9852109400344
0.00732130162864,0.5316554916841016,0.0949450047589767,0.7459655904406886,1461,2877.57282422479
0.0172733350656014,0.7482070087466117,0.335305432931245,1.099516407347957,1308,4528.3330378774035
0.0169473842089649,0.8851376433239424,0.0635484133555969,0.9768463464928532,1746,6069.5526195486955
0.0068838953787911,0.7886578239449276,0.029219644891794,0.9193258915563474,824,4709.43855173095
0.0091106694427874,0.3642439692528581,0.0281301657931394,1.0366628631295716,864,689.154504919029
0.0056750715901574,0.2084686529918595,0.0269669015769954,1.1666529586806904,454,29.465616147057002
0.0082563124509013,0.8214166336658508,0.0239711909918287,0.8326135095969036,1067,5566.288282615945
0.0080958029631004,0.3158073951812505,0.0511448921002965,1.2495896297812346,1145,263.273478400873
0.0063684911485356,0.7467298570519256,0.1014098644728865,0.8355285590320644,1046,4177.912010807872
0.0187317035518924,0.3292128081001071,0.3002067505008504,1.1350989802932867,596,965.1767963436473
0.0126156294309786,0.8534970659447056,0.2868953005869246,1.035136541063578,738,4651.875211161421
0.0080779697538367,0.6757629302337297,0.1749673481077786,1.2253665817296715,865,3664.4937775672806
0.0157677801614029,0.7873403977007254,0.0485893016272953,0.8764564411738541,1380,5678.323347050167
0.0174784437797714,0.3068286911925303,0.1192178121355821,1.153491009929643,659,707.1337088460609
0.0036393245352352,0.6670656510919283,0.0688237351568808,0.7861693521741069,1427,3229.355333396625
0.016881237339664,0.4177144644812319,0.0423232951180993,0.8145020414821926,1105,1932.9392930124154
0.0154758254063645,0.2210142137995903,0.0262218978878982,1.2873831748196505,458,178.8697644061115
0.0036261813080239,0.7362733012645903,0.0221230753870535,1.05921009800308,1250,4367.860442180985
0.0081543093980299,0.686441181017685,0.0687993275970167,0.7083816254236384,411,3665.8634854133816
0.014687187724607,0.3920276882392344,0.011068007381024,0.8350619700358408,1711,1802.9859205993
0.01080144058339,0.370883582504905,0.1839469687722832,1.2058481950087578,372,752.475451869205
0.0164246154485375,0.7687780252798815,0.0237827515174595,1.1521384530204533,1125,5733.791358195145
0.0097750030177614,0.5025477489588458,0.0152120410227165,1.081758460745346,1165,2813.04328048444
0.0126913373778425,0.3679796957564306,0.0288274516679111,0.730654631555472,1755,1278.4432265112148
0.0102048891728554,0.6089713338280458,0.3109049572381782,0.7841612372431436,1010,3114.867090295921
0.0192024544390286,0.7691135091500854,0.0150774704974579,0.7571162223980631,1323,6104.904867544095
0.0180227257619637,0.7335365173682444,0.4293662387998538,1.1283015387507556,572,4005.414001616923
0.0144297900949724,0.554563909474138,0.0113619082159346,0.9816286542995782,703,2438.39970131364
0.0198276944140568,0.5032988284084485,0.0204169617141395,1.0663147651352929,791,3168.777420019515
0.0074702839153053,0.2289248691464506,0.3971641818694464,0.7013774892633201,996,115.11533576458726
0.0114581494140537,0.7039685822902633,0.0254294746074891,0.9422096871725744,1692,5340.565497276815
